company,website,status,ats_type,careers_url,roles_found,error
XY Automation,https://xyautomation.com,scraped_text_only,,https://xyautomation.com/careers,0,
GF Machining Solutions,https://gfms.com,scraped_text_only,,https://gfms.com/careers,0,
CurTec,https://curtec.com,scraped_text_only,,https://careers.curtec.com,0,
Less Common Metals Limited,https://lesscommonmetals.com,scraped_text_only,,https://lesscommonmetals.com/about-us/careers/,0,
ARIAL Industries,https://arial-industries.com,scraped_text_only,,https://arial-industries.com/index.php/carriere,0,
Fig3D |Built on Purpose | UK Manufacturing ECO System,https://fig3d.co.uk,scraped_text_only,,https://fig3d.co.uk#contact,0,
Stratasys,https://stratasys.com,scraped_text_only,,https://careers.stratasys.com/#_ga=2.125366862.553020476.1544456257-19890595.1541098865,0,
Laser Lines (Stratasys UK Platinum Partner & Laser Marking and Welding Systems),https://3dprinting.co.uk,scraped_text_only,,https://3dprinting.co.uk/careers/,0,
Synbiosys,https://synbiosys.co.uk,scraped_text_only,,https://www.synbiosys.co.uk/careers,0,
"Tecomet, Inc",https://tecomet.com,scraped_text_only,,https://tecomet.com/careers/,0,
HSL srl,https://hsl-italia.com,scraped_text_only,,https://www.hsl-italia.com/career/,0,
Washington Mills,https://washingtonmills.com,scraped_text_only,,https://washingtonmills.com/company/careers,0,
Powerphotonic Limited,https://powerphotonic.com,scraped_text_only,,https://www.powerphotonic.com/current-opportunities/,0,
OR3D,https://or3d.co.uk,scraped_text_only,,https://or3d.co.uk/pages/premium-positioning,0,
GoodFabs,https://goodfabs.com,scraped_text_only,,https://www.goodfabs.com/post/elevate-your-career-opportunities-for-senior-quality-inspectors-at-goodfabs,0,
Lestercast - Investment Casting Solutions,https://lestercast.co.uk,scraped_text_only,,https://lestercast.co.uk/vacancies/,0,
Great Central Plastics,https://greatcentralplastics.com,scraped_text_only,,https://www.greatcentralplastics.com/posts/common-mistakes-when-hiring-an-injection-moulding-company,0,
Airtech Advanced Materials UK,https://airtech-amg.co.uk,scraped_text_only,,https://airtech-amg.co.uk/careers,0,
Gait and Motion Technology,https://gaitandmotion.co.uk,scraped_text_only,,https://gaitandmotion.co.uk/about/careers,0,
A&M Pure Precision,https://amedm.co.uk,scraped_text_only,,https://www.amedm.co.uk/about/vacancies/,0,
Polar Technology,https://polartechnology.co.uk,scraped_text_only,,https://polartechnology.co.uk/careers,0,
Malin Group,https://malingroup.com,scraped_text_only,,https://malingroup.com/scottish-marine-technology-park/our-opportunities/,0,
Hosokawa Micron,https://hosokawa-micron-bv.com,scraped_text_only,,https://hosokawa-micron-bv.com/company/careers,0,
PWR Advanced Cooling Technology,https://pwr.com.au,scraped_text_only,,https://www.pwr.com.au/find-your-passion-and-career-with-pwr/,0,
FIDAMC,https://fidamc.es,scraped_text_only,,https://fidamc.es/empleo-fidamc/,0,
Victrex,https://victrex.com,scraped_text_only,,https://victrex.com/en/about-us/careers,0,
SYS Systems (Stratasys UK Platinum Partner),https://sys-uk.com,scraped_text_only,,https://www.sys-uk.com/news/everything-additive-uk-2026-join-us-under-the-wings-of-concorde/,0,
High Value Manufacturing Catapult,https://catapult.org.uk,scraped_text_only,,https://catapult.org.uk,0,
Inovus Medical,https://inovus.org,scraped_text_only,,https://inovus.org/careers,0,
PAKT3D,https://pakt3d.com,scraped_text_only,,https://pakt3d.com/about/careers,0,
Piab Group,https://piab.com,scraped_text_only,,https://piab.com/careers,0,
Hydra Manufacturing,https://hydra-manufacturing.com,scraped_text_only,,https://hydra-manufacturing.com/blog/strategic-defence-review-2025,0,
Kennametal,https://kennametal.com,scraped_text_only,,https://jobs.kennametal.com/,0,
Fastech,https://fastech-engineering.com,scraped_text_only,,https://fastech-engineering.com/work-with-us,0,
Nikon Metrology,https://industry.nikon.com,scraped_text_only,,https://industry.nikon.com/en-us/careers/,0,
KraussMaffei UK,https://kraussmaffei.com,scraped_text_only,,https://kraussmaffei.com,0,
Beverston Engineering,https://beverston.co.uk,scraped_text_only,,https://www.beverston.co.uk/careers/,0,
TEI - TUSAŞ Engine Industries,https://tei.com.tr,scraped_text_only,,https://www.tei.com.tr/en/career,0,
RAI Polymers UK Limited,https://polydisteurope.com,scraped_text_only,,https://polydisteurope.com/about-us/careers,0,
Castlet,https://castletltd.com,scraped_text_only,,https://castletltd.com/careers,0,
Protolabs,https://protolabs.com,scraped_text_only,,https://protolabs.com/services/3d-printing/fused-deposition-modeling/,0,
Goken America,https://goken-global.com,scraped_text_only,,https://goken-global.com/careers/,0,
igus UK,https://igus.co.uk,scraped_text_only,,https://igus.co.uk/company/jobs,0,
Signal Plastics,https://omegaplasticsgroup.co.uk,scraped_text_only,,https://www.omegaplasticsgroup.co.uk/omega-plastics-group-about-us/work-for-us/,0,
Orchid Orthopedic Solutions,https://orchid-ortho.com,scraped_text_only,,https://www.orchid-ortho.com/Contact/Careers,0,
THALETEC,https://thaletec.com,scraped_text_only,,https://thaletec.com/en/career/thaletec-as-an-employer,0,
GEMX North West,https://gemx.uk,scraped_text_only,,https://gemx.uk/sustainability-event/,0,
Röchling Industrial (UK) Limited - Hitchin,https://roechling.com,scraped_text_only,,https://jobs.roechling.com/,0,
